Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,2024-02-29 11:30:00,Practice 2,2024-02-29 15:00:00,Practice 3,2024-03-01 12:30:00,Qualifying,2024-03-01 16:00:00,Race,2024-03-02 15:00:00
Saudi Arabia,Jeddah,Saudi Arabian Grand Prix,Practice 1,2024-03-07 13:30:00,Practice 2,2024-03-07 17:10:00,Practice 3,2024-03-08 13:30:00,Qualifying,2024-03-08 17:00:00,Race,2024-03-09 17:00:00
Australia,Melbourne,Australian Grand Prix,Practice 1,2024-03-22 01:30:00,Practice 2,2024-03-22 05:00:00,Practice 3,2024-03-23 01:30:00,Qualifying,2024-03-23 05:00:00,Race,2024-03-24 04:00:00
Japan,Suzuka,Japanese Grand Prix,Practice 1,2024-04-05 02:30:00,Practice 2,2024-04-05 06:00:00,Practice 3,2024-04-06 02:30:00,Qualifying,2024-04-06 06:00:00,Race,2024-04-07 05:00:00
China,Shanghai,Chinese Grand Prix,Practice 1,2024-04-19 03:30:00,Sprint Qualifying,2024-04-19 07:30:00,Sprint,2024-04-20 03:00:00,Qualifying,2024-04-20 07:00:00,Race,2024-04-21 07:00:00
United States,Miami,Miami Grand Prix,Practice 1,2024-05-03 16:30:00,Sprint Qualifying,2024-05-03 20:30:00,Sprint,2024-05-04 16:00:00,Qualifying,2024-05-04 20:00:00,Race,2024-05-05 20:00:00
Italy,Imola,Emilia Romagna Grand Prix,Practice 1,2024-05-17 11:30:00,Practice 2,2024-05-17 15:00:00,Practice 3,2024-05-18 10:30:00,Qualifying,2024-05-18 14:00:00,Race,2024-05-19 13:00:00
Monaco,Monaco,Monaco Grand Prix,Practice 1,2024-05-24 11:30:00,Practice 2,2024-05-24 15:00:00,Practice 3,2024-05-25 10:30:00,Qualifying,2024-05-25 14:00:00,Race,2024-05-26 13:00:00
Canada,Montréal,Canadian Grand Prix,Practice 1,2024-06-07 17:30:00,Practice 2,2024-06-07 21:00:00,Practice 3,2024-06-08 16:30:00,Qualifying,2024-06-08 20:00:00,Race,2024-06-09 18:00:00
Spain,Barcelona,Spanish Grand Prix,Practice 1,2024-06-21 11:30:00,Practice 2,2024-06-21 15:00:00,Practice 3,2024-06-22 10:30:00,Qualifying,2024-06-22 14:00:00,Race,2024-06-23 13:00:00
Austria,Spielberg,Austrian Grand Prix,Practice 1,2024-06-28 10:30:00,Sprint Qualifying,2024-06-28 14:30:00,Sprint,2024-06-29 10:00:00,Qualifying,2024-06-29 14:00:00,Race,2024-06-30 13:00:00
United Kingdom,Silverstone,British Grand Prix,Practice 1,2024-07-05 11:30:00,Practice 2,2024-07-05 15:00:00,Practice 3,2024-07-06 10:30:00,Qualifying,2024-07-06 14:00:00,Race,2024-07-07 14:00:00
Hungary,Budapest,Hungarian Grand Prix,Practice 1,2024-07-19 11:30:00,Practice 2,2024-07-19 15:00:00,Practice 3,2024-07-20 10:30:00,Qualifying,2024-07-20 14:00:00,Race,2024-07-21 13:00:00
Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,2024-07-26 11:30:00,Practice 2,2024-07-26 15:00:00,Practice 3,2024-07-27 10:30:00,Qualifying,2024-07-27 14:00:00,Race,2024-07-28 13:00:00
Netherlands,Zandvoort,Dutch Grand Prix,Practice 1,2024-08-23 10:30:00,Practice 2,2024-08-23 14:00:00,Practice 3,2024-08-24 09:30:00,Qualifying,2024-08-24 13:00:00,Race,2024-08-25 13:00:00
Italy,Monza,Italian Grand Prix,Practice 1,2024-08-30 11:30:00,Practice 2,2024-08-30 15:00:00,Practice 3,2024-08-31 10:30:00,Qualifying,2024-08-31 14:00:00,Race,2024-09-01 13:00:00
Azerbaijan,Baku,Azerbaijan Grand Prix,Practice 1,2024-09-13 09:30:00,Practice 2,2024-09-13 13:00:00,Practice 3,2024-09-14 08:30:00,Qualifying,2024-09-14 12:00:00,Race,2024-09-15 11:00:00
Singapore,Marina Bay,Singapore Grand Prix,Practice 1,2024-09-20 09:30:00,Practice 2,2024-09-20 13:00:00,Practice 3,2024-09-21 09:30:00,Qualifying,2024-09-21 13:00:00,Race,2024-09-22 12:00:00
United States,Austin,United States Grand Prix,Practice 1,2024-10-18 17:30:00,Sprint Qualifying,2024-10-18 21:30:00,Sprint,2024-10-19 18:00:00,Qualifying,2024-10-19 22:00:00,Race,2024-10-20 19:00:00
Mexico,Mexico City,Mexico City Grand Prix,Practice 1,2024-10-25 18:30:00,Practice 2,2024-10-25 22:00:00,Practice 3,2024-10-26 17:30:00,Qualifying,2024-10-26 21:00:00,Race,2024-10-27 20:00:00
Brazil,São Paulo,São Paulo Grand Prix,Practice 1,2024-11-01 14:30:00,Sprint Qualifying,2024-11-01 18:30:00,Sprint,2024-11-02 14:00:00,Qualifying,2024-11-02 18:00:00,Race,2024-11-03 17:00:00
United States,Las Vegas,Las Vegas Grand Prix,Practice 1,2024-11-22 02:30:00,Practice 2,2024-11-22 06:00:00,Practice 3,2024-11-23 02:30:00,Qualifying,2024-11-23 06:00:00,Race,2024-11-24 06:00:00
Qatar,Lusail,Qatar Grand Prix,Practice 1,2024-11-29 13:30:00,Sprint Qualifying,2024-11-29 17:30:00,Sprint,2024-11-30 14:00:00,Qualifying,2024-11-30 18:00:00,Race,2024-12-01 16:00:00
United Arab Emirates,Yas Island,Abu Dhabi Grand Prix,Practice 1,2024-12-06 09:30:00,Practice 2,2024-12-06 13:00:00,Practice 3,2024-12-07 10:30:00,Qualifying,2024-12-07 14:00:00,Race,2024-12-08 13:00:00
